Fecha,Target,Model,Forecast
2026-01,Nacional,RF+Prices,7249.5
2026-02,Nacional,RF+Prices,7249.5
2026-03,Nacional,RF+Prices,7156.0
2026-04,Nacional,RF+Prices,7094.2
2026-05,Nacional,RF+Prices,7079.1
2026-06,Nacional,RF+Prices,7232.1
2026-07,Nacional,RF+Prices,7300.1
2026-08,Nacional,RF+Prices,7384.0
2026-09,Nacional,RF+Prices,7448.4
2026-10,Nacional,RF+Prices,7589.7
2026-11,Nacional,RF+Prices,7589.7
2026-12,Nacional,RF+Prices,7571.9
2027-01,Nacional,RF+Prices,7249.5
2027-02,Nacional,RF+Prices,7249.5
2027-03,Nacional,RF+Prices,7156.0
2027-04,Nacional,RF+Prices,7094.2
2027-05,Nacional,RF+Prices,7079.1
2027-06,Nacional,RF+Prices,7232.1
2027-07,Nacional,RF+Prices,7300.1
2027-08,Nacional,RF+Prices,7384.0
2027-09,Nacional,RF+Prices,7448.4
2027-10,Nacional,RF+Prices,7589.7
2027-11,Nacional,RF+Prices,7589.7
2027-12,Nacional,RF+Prices,7571.9
2026-01,Nacional,XGB+Prices,6291.7
2026-02,Nacional,XGB+Prices,6362.6
2026-03,Nacional,XGB+Prices,6398.8
2026-04,Nacional,XGB+Prices,6515.7
2026-05,Nacional,XGB+Prices,6551.2
2026-06,Nacional,XGB+Prices,6522.6
2026-07,Nacional,XGB+Prices,6884.2
2026-08,Nacional,XGB+Prices,7136.5
2026-09,Nacional,XGB+Prices,7114.5
2026-10,Nacional,XGB+Prices,7389.2
2026-11,Nacional,XGB+Prices,7389.2
2026-12,Nacional,XGB+Prices,7389.2
2027-01,Nacional,XGB+Prices,6291.7
2027-02,Nacional,XGB+Prices,6362.6
2027-03,Nacional,XGB+Prices,6398.8
2027-04,Nacional,XGB+Prices,6515.7
2027-05,Nacional,XGB+Prices,6551.2
2027-06,Nacional,XGB+Prices,6522.6
2027-07,Nacional,XGB+Prices,6884.2
2027-08,Nacional,XGB+Prices,7136.5
2027-09,Nacional,XGB+Prices,7114.5
2027-10,Nacional,XGB+Prices,7389.2
2027-11,Nacional,XGB+Prices,7389.2
2027-12,Nacional,XGB+Prices,7389.2
2026-01,Madrid,RF+Prices,859.2
2026-02,Madrid,RF+Prices,859.2
2026-03,Madrid,RF+Prices,843.6
2026-04,Madrid,RF+Prices,828.6
2026-05,Madrid,RF+Prices,824.9
2026-06,Madrid,RF+Prices,841.4
2026-07,Madrid,RF+Prices,841.4
2026-08,Madrid,RF+Prices,855.5
2026-09,Madrid,RF+Prices,883.8
2026-10,Madrid,RF+Prices,903.6
2026-11,Madrid,RF+Prices,903.6
2026-12,Madrid,RF+Prices,903.6
2027-01,Madrid,RF+Prices,859.2
2027-02,Madrid,RF+Prices,859.2
2027-03,Madrid,RF+Prices,843.6
